Id,Label,main_country,Type
6xg3PSVEwviVyfnx3mtsPL,Saul,Czech Republic,Artist
4Vmja4orT3sZ2F3x3DanBZ,Hard Rico,Czech Republic,Artist
4V1v1oFnKe0b42lZh1QBnF,Ektor,Czech Republic,Artist
3qoxj1cR3W3crV51Wg38Ux,Dollar Prync,Czech Republic,Artist
1gRr6moof50L1b7XsbClvI,Rytmus,Czech Republic,Artist
3LujD0iQ9jRbSCMA39CGfO,Separ,Slovakia,Artist
5RWzjEjUW2NWpSm00Ieo5X,Peter Pann,Slovakia,Artist
3FgZ0agsmQ50Y9VflHdcio,Rohony,Czech Republic,Artist
2U1l35agymGrBDFeMIxVLG,Pil C,Slovakia,Artist
33ngpBQcfq53FgLhpBDt8i,Luca Brassi10x,Slovakia,Artist
5gRumjUBK1fHfuOlQxspJ9,ŠKWOR,Czech Republic,Artist
5lEkQtWa3UKlI1hj7sktcd,Calin,Czech Republic,Artist
5iYtjtFv6SvHX95ny4fVEz,P T K,Czech Republic,Artist
1bpca6RQE5kp92pIwPMBE8,Ben Cristovao,Czech Republic,Artist
2f1Czzz5n4BX80U6cksGr9,Kabát,Czech Republic,Artist
28oxY7ZfDt1BJFf8FVfpEh,Robin Zoot,Czech Republic,Artist
2ZHJEckf6HJXMSuD2icSSW,Sofian Medjmedj,Czech Republic,Artist
7KjsjftPKKarTvZlawniPi,Marstein,Norway,Artist
1GKN1Js8fa19K23eIhOMhg,Annika,Denmark,Artist
74HomvqoUecDcUPRespyqg,Suspekt,Denmark,Artist
5FIdLxucf1EKqZfxeeXZzD,URO,Denmark,Artist
4ZwOlDVAGXQo66ykbLQ8dP,Lamin,Denmark,Artist
1d5Y2zrhRQ6R0plv652L67,Ukendt Kunstner,Denmark,Artist
2eBqkaIfoNsOPCQCQEy5fD,Benny Jamz,Denmark,Artist
2KbikmQKGiUPR2ARs1h0sq,Gilli,Denmark,Artist
2dfY7zXIP61MKHtD175hFp,Noah Carter,Denmark,Artist
7JoViNQIqOIaxcBswboN5d,Ankerstjerne,Denmark,Artist
3pVuaUisHmRfVy53qWwmql,Daniel Schulz,Denmark,Artist
3SyJZpVRYuncgXPtjAceOJ,Panamah,Denmark,Artist
2d7AMvzFwh5wUTuqQl3BAE,KESI,Denmark,Artist
5RaTuqY7SJHvh6MNzMagut,D1MA,Denmark,Artist
14nVYgOiwVBJIEATXIDYC8,Burhan G,Denmark,Artist
3elCsuJ1JjDeAd8mjlRRX5,Blæst,Denmark,Artist
6xfKNngTw1zxViM96HSTCq,Mumle,Denmark,Artist
7nCIXUCqZmxntAGJMyls5c,Svea S,Denmark,Artist
