id,label,type,main_country
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,Artist,Brazil
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,Artist,Brazil
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,Artist,Brazil
5Dz2FizMLqV0Cr3c8uhEcF,MC Cebezinho,Artist,Brazil
1b8S7EPzdckRyIh0uSbOMI,DJ Oreia,Artist,Brazil
64DTkZLH6KkkMwZEEZ5VWC,Love Funk,Artist,Brazil
5InVWl8IZB8zFAoNa5roKm,Mc Kako,Artist,Brazil
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,Artist,Brazil
1DuBkL1pAgaZQHXKPiVr08,Léo Foguete,Artist,Brazil
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,Artist,Brazil
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,Artist,Brazil
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,Artist,Brazil
2CKOmarVWvWqkNWUatHCex,Ana Castela,Artist,Brazil
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,Artist,Brazil
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,Artist,Brazil
70jpkgy5oGT4YjaGFpCpk7,MC LUUKY,Artist,Brazil
7wLAecYIgstxcjqe6JwT3w,DJ JB Mix,Artist,Brazil
5s27i7oqhNWIcE4HeoVdq0,MC GP,Artist,Brazil
2f8xoxornfSw6ePzgyM9NO,MC Jvila,Artist,Brazil
6XFc29m1ptfUNmaa1UTuBT,MC Joãozinho VT,Artist,Brazil
3UfwtvPZZea2HHwI23VtKP,MC Vine7,Artist,Brazil
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,Artist,Brazil
2VTYSgPG0HoSZ4YMx7EeFj,Mc Duzinho SP,Artist,Brazil
6zGPa2tLMJ5HQYUddZI8di,Caio Passos,Artist,Brazil
04QHNiih9ZesPvals6II1h,MC Marks,Artist,Brazil
7IOSPo9oGCLWtDEZtmxgTi,MC Bruno MS,Artist,Brazil
2FDaBZt51fOXh2rbHL8Afr,Mc Magal,Artist,Brazil
48yaM25WLHmQZXx5NN3DYH,Aaron Modesto,Artist,Brazil
