id_genre,id_artiste,pays
1795,1194,Netherlands
1797,1194,Netherlands
1795,1195,Netherlands
1795,1196,Netherlands
1793,1197,Netherlands
1795,1197,Netherlands
1797,1198,Netherlands
1793,1200,Netherlands
1795,1200,Netherlands
1797,1200,Netherlands
1793,1201,Netherlands
1795,1201,Netherlands
1800,1201,Netherlands
1793,1202,Netherlands
1795,1202,Netherlands
1797,1202,Netherlands
1793,1203,Netherlands
1795,1203,Netherlands
1797,1203,Netherlands
1793,1205,Netherlands
1795,1205,Netherlands
1797,1205,Netherlands
1797,1206,Netherlands
1797,1207,Netherlands
1799,1208,New Zealand
1799,1209,New Zealand
1801,1209,New Zealand
1799,1210,New Zealand
1799,1211,New Zealand
1795,1213,Nicaragua
1799,1213,Nicaragua
1793,1215,Sweden
1794,1215,Sweden
1795,1215,Sweden
1797,1215,Sweden
1800,1215,Sweden
1793,1218,Norway
1795,1218,Norway
1793,1222,Norway
1795,1222,Norway
1797,1222,Norway
1793,1223,Norway
1795,1223,Norway
1793,1228,Norway
1795,1228,Norway
1795,1236,Pakistan
1797,1236,Pakistan
1795,1237,Pakistan
1797,1237,Pakistan
1795,1238,Pakistan
1797,1239,Pakistan
1797,1240,Pakistan
1795,1241,Pakistan
1797,1241,Pakistan
1797,1243,Pakistan
1795,1244,Pakistan
1795,1250,Pakistan
1795,1252,Pakistan
1797,1252,Pakistan
1795,1253,Pakistan
1795,1254,Pakistan
1797,1254,Pakistan
1795,1256,Pakistan
1797,1256,Pakistan
1795,1257,Pakistan
1795,1258,Pakistan
1797,1258,Pakistan
1795,1259,Pakistan
1795,1260,Pakistan
1795,1262,Pakistan
1793,1265,Pakistan
1797,1265,Pakistan
1797,1267,Pakistan
1797,1268,Pakistan
1799,1271,Pakistan
1795,1272,Panama
1795,1273,Panama
1795,1274,Panama
1795,1275,Panama
1795,1276,Panama
1795,1277,Panama
1793,1278,Panama
